,APPLICATION TYPE,PERMIT,APPL INIT DATE,ISSUE DATE,APPL FINAL DATE,APPLICANT NAME,ASSESSOR INFO NUMBER,STATISTICAL CLASS CODE,DWELLING ADDED/REMOVED,# OF BUILDING,SQFT,VALUATION,CMP CODE,PERMIT TYPE,COMBINED ADDRESS,WORK DESCRIPTION,PERMIT SUBTYPE,PERMIT STATUS,STATUS DATE
1015,BL,1803080049,03/08/2018 12:00:00 AM,03/08/2018 12:00:00 AM,,SAME AS OWNER,6212007030,21,,,1200,1000,0,AR,3037  FLOWER ST   HNPK 90255,"C/O 15 WINDOWS, RETROFIT. T/O AND RE-ROOF HOUSE STRUCTURE.INSTALL PLYWOOD AS NEEDED. T/D 10 SQUARES FLAT ROOF, 3 SQS.PITCHED ROOF",,,
1043,BL,1711160021,11/16/2017 12:00:00 AM,11/16/2017 12:00:00 AM,,SAME AS OWNER,5007004008,21,,,0,1500,0,AR,5326  DEANE AV   LOSA 90043,"VOLUNTARY SEISMIC RETROFIT IN EXISTING WOOD FRAME.RESIDENTIAL BUILDING, PER LA CITY STANDARD PLAN.",,,
1216,BL,1709270066,09/27/2017 12:00:00 AM,09/27/2017 12:00:00 AM,10/06/2017 12:00:00 AM,ACEVEDO                            ALBERTO,5810012034,21,,,0,500,0,AR,4423  ROCKLAND PL   MONT 91020,VOLUNTARY ADD PLYWOOD @ TWO (E) INTERIOR WALLS ONLY..,,,
1580,BL,1706210093,06/21/2017 12:00:00 AM,11/02/2017 12:00:00 AM,12/28/2017 12:00:00 AM,"DAVIDSON, RACHAEL",5250021027,22,0,1,179,120000,0,CR,202  ATLANTIC BL S  ELOS 90022,"REMOVE (E) WOOD MONOPOLE W/ANTENNAS & REPLACE W/(N) STEEL.MONOPOLE. INSTALL ON BALLASTED FOUNDATION SYSTEM. RE-ROUTE.(E) ANTENNA COAX CABLES TO (N) MONOPOLE, RE-UTILIZE (E)",,,
1587,BL,1709120056,09/12/2017 12:00:00 AM,09/12/2017 12:00:00 AM,,ALLAHVERDI                         VANO,3228016028,21,,,0,4800,0,AR,39102  CALLE DE SOTA nan   SAUG 91350,RETROFIT 4 WOOD WINDOWS  LIKE FOR LIKE..,,,
2103,BL,1501130077,01/13/2015 12:00:00 AM,01/13/2015 12:00:00 AM,05/04/2015 12:00:00 AM," BROTMAN, IFAT                                      ",6152018010,21,      ,     ,0,8000,0, AR ,2026          KNOPF                       ST   E                 COMP  90222," VOLUNTARY FOUNDATION RETROFIT PER LA CITY STANDARD PLAN,     . REMOVE WOOD SIDING AND STUCCO GARAGE ONLY                    .                                                              ",,,
2529,BL,107200028,07/20/2001 12:00:00 AM,07/20/2001 12:00:00 AM,, OPFELL                             JON             ,8217028018,21,6,     ,0,4000,2, AR ,14814          GALE                        AV   E    BLD #3       HACH  91745, PARTIAL RETROFIT OF EXIST DELAMINATING COMPOSITE LAP SIDING  . W/TRU WOOD CHANNEL RUSTIO-LAPING SIDING (VARIOUS LOCATIONS)  .                                                              ,,,
2791,BL,107200029,07/20/2001 12:00:00 AM,07/20/2001 12:00:00 AM,, OPFELL                             JON             ,8217028018,21,6,     ,0,4000,2, AR ,14814          GALE                        AV   E    BLD #8       HACH  91745, PARTIAL RETROFIT OF EXIST DELAMINATING COMPOSITE LAP SIDING  . W/TRU WOOD CHANNEL RUSTIO-LAPING SIDING (VARIOUS LOCATIONS)  .                                                              ,,,
3007,BL,305220043,05/22/2003 12:00:00 AM,12/10/2003 12:00:00 AM,04/20/2004 12:00:00 AM, ROMANOWSKI                         ROBERT          ,6079013010,22,0,1,0,40000,25, AR ,1232          119TH                       ST   W                 LOSA  90044, SEISMIC RETROFIT OF EXISTING SINGLE STORY WOOD FRAME 2 UNIT  . DUPLEX                                                       .                                                              ,,,
3247,BL,1207170006,07/17/2012 12:00:00 AM,07/17/2012 12:00:00 AM,08/02/2012 12:00:00 AM, MOHR                               JERRY           ,5807022013,21,0,     ,0,5000,0, AR ,2387          FLORENCITA                  AV                     MONT  91020," REPAIR STAIR LANDING: CHANGE JOISTS, PLYWOOD, INSTALL        . ADDITIONAL POSTS WITH FOUNDATION                             .                                                              ",,,
3528,BL,107200041,07/20/2001 12:00:00 AM,07/20/2001 12:00:00 AM,, OPFELL                             JON             ,8217028018,21,4,     ,0,4000,2, AR ,14814          GALE                        AV   E    BLD #6       HACH  91745, PARTIAL RETROFIT OF EXIST DELAMINATING COMPOSITE LAP SIDING  . W/TRU WOOD CHANNEL RUSTIO-LAPING SIDING (VARIOUS LOCATIONS)  .                                                              ,,,
3605,BL,107200034,07/20/2001 12:00:00 AM,07/20/2001 12:00:00 AM,, OPFELL                             JON             ,8217028018,21,8,     ,0,4000,2, AR ,14814          GALE                        AV   E    BLD #7       HACH  91745, PARTIAL RETROFIT OF EXIST DELAMINATING COMPOSITE LAP SIDING  . W/TRU WOOD CHANNEL RUSTIO-LAPING SIDING (VARIOUS LOCATIONS)  .                                                              ,,,
