,APPLICATION TYPE,PERMIT,APPL INIT DATE,ISSUE DATE,APPL FINAL DATE,APPLICANT NAME,ASSESSOR INFO NUMBER,STATISTICAL CLASS CODE,DWELLING ADDED/REMOVED,# OF BUILDING,SQFT,VALUATION,CMP CODE,PERMIT TYPE,COMBINED ADDRESS,WORK DESCRIPTION,PERMIT SUBTYPE,PERMIT STATUS,STATUS DATE
866,BL,1702220071,02/22/2017 12:00:00 AM,08/28/2017 12:00:00 AM,,PATRICK CALVARIO,8176007031,21,,,0,25000,0,AR,7335  NORWALK BL   WHIT 90606,VOLUNTARY SEISMIC RETROFIT OF SOFT/WEAK/OPEN-FRONT WALL LINE..,,,
965,BL,1704240100,04/24/2017 12:00:00 AM,06/21/2017 12:00:00 AM,07/02/2018 12:00:00 AM,JODY WOOD,6008008010,21,,,0,35000,0,AR,1208  59TH ST E  LOSA 90001,VOLUNTARY SEISMIC RETROFIT TO STRENGTHEN THE SOFT STORY AT.THE WEAK OPEN LINE ON THE GROUND FLOOR TUCK UNDER PARKING.OF EXISTING 2-STORY APARTMENT BUILDING USING ORDINARY,,,
1542,BL,1706280066,06/28/2017 12:00:00 AM,01/31/2018 12:00:00 AM,05/09/2018 12:00:00 AM,OPTIMUM SEISMIC / ESTEVAN PURRA,5009004013,21,,,0,35000,0,AR,4817  SLAUSON AV W  LOSA 90056,VOLUNTARY SEISMIC RETROFIT. ADD A MOMENT FRAME TO ONE.PARKING GARAGE ON THE GROUND LEVEL OF AN APARTMENT BUILDING.TO REINFORCE A SOFT STORY.,,,
6616,BL,412280039,12/28/2004 12:00:00 AM,02/15/2006 12:00:00 AM,02/16/2007 12:00:00 AM, MICHAEL LESHINSKY                                  ,6047015900,21,8,1,9500,500000,1, AR ,1109          91ST                        ST   W                 LACO  90044, SEISMIC RETROFIT OF SOFT STORY CONDITION AND EXTERIOR PAINT. .                                                              .                                                              ,,,
7065,BL,1105310068,05/31/2011 12:00:00 AM,06/30/2011 12:00:00 AM,10/27/2011 12:00:00 AM, BRUCE MCVAY                                        ,4038015010,22,0,4,0,30000,0, AR ,10121          BUFORD                      AV                     INGL  90304, ADDING SIMPSON STRONG FRAME TO GARAGE FOR VOLUNTARY SEISMIC  . UPGRADE TO EXIST. SOFT-STORY DESIGN.                         .                                                              ,,,
7682,BL,703210045,03/21/2007 12:00:00 AM,02/04/2008 12:00:00 AM,04/15/2008 12:00:00 AM, SAME AS OWNER                                      ,8403013900,22,0,     ,156,1000,4, CR ,20261          COVINA                      BL                     COVI       , BUILD A STORAGE /SCORER'S BOOTH (YOUTH BASEBALL & SOFTBALL)  .                                                              .                                                              ,,,
8535,BL,1403240017,03/24/2014 12:00:00 AM,04/01/2014 12:00:00 AM,05/01/2014 12:00:00 AM, NORBERG                            DAVE            ,2424043017,22,      ,     ,0,100000,0, AR ,2332          2ND                         ST                     WHOL       ," REPLACE SEATS, SOFT SURFACES, ADD DRAPERY                    .                                                              .                                                              ",,,
10090,BL,1105310069,05/31/2011 12:00:00 AM,06/30/2011 12:00:00 AM,, BRUCE MCVAY                                        ,4038015001,22,0,4,0,30000,0, AR ,10131          BUFORD                      AV                     INGL  90304, ADDING SIMPSON STRONG FRAME TO GARAGE FOR VOLUNTARY SEISMIC  . UPGRADE TO EXISTING SOFT-STORY DESIGN.                       .                                                              ,,,
11072,BL,1406090079,06/09/2014 12:00:00 AM,06/09/2014 12:00:00 AM,09/04/2014 12:00:00 AM, RELIABLE CONSTRUCTION UNLIMITED                    ,8294011007,21,      ,     ,0,23000,0, AR ,16771          DAWN HAVEN                                         LCNT  91745," KITCHEN REMODEL; INSTALLING CABINETS, COUNTERTOPS, DRYWALL   . REPAIR, INSULATION, WINDOW & DOOR INCLUDING SOFT FRAMING     .                                                              ",,,
589,,97016-70000-05854,,3/19/1997,,,,,,,,20000,,Bldg-Alter/Repair,12618 W MITCHELL AVE 90066,Soft Story Upgrade (Voluntary Work),Apartment,Permit Closed,7/13/1999
594,,97016-70000-05850,,3/19/1997,,,,,,,,20000,,Bldg-Alter/Repair,12616 W MITCHELL AVE 90066,Soft Story Upgrade (Voluntary Work),Apartment,Permit Expired,12/11/2006
7237,,00016-70000-16111,,8/30/2000,,,,,,,,6000,,Bldg-Alter/Repair,3311 N LEDGEWOOD DR 90068,Voluntary Seismic Retrofit Of Soft Story With Steel Frame And Grade Be Am.,1 or 2 Family Dwelling,Permit Expired,6/13/2008
8323,,00010-70002-02495,,4/6/2001,,,,,,,,2500,,Bldg-Alter/Repair,1404 N DEVLIN DR 90069,Revise The Design Of The Garage'S Foundation To Provide Caissons On The Entry Side. Field Conditions Found Soft Soil And Footings Had To Be Deepened.,1 or 2 Family Dwelling,Permit Finaled,1/4/2006
14428,,03016-30000-15742,,8/14/2003,,,,,,,,6000,,Bldg-Alter/Repair,1549 S BEVERLY DR 1-12 90035,Soft Story Retrofit  For (E)  2-Story Apt.  Building At Garage Doors.,Apartment,Permit Finaled,1/18/2005
45936,,14016-10000-16829,,10/8/2014,,,,,,,0,55000,,Bldg-Alter/Repair,10136 W NATIONAL BLVD 90034,Voluntary Soft Story Alteration At (E) Parking Carport  Structure.  Add  Grade  Beams  And   Steel  Frames,Apartment,OK to Issue CofC,1/9/2015
45996,,14016-30000-20967,,10/15/2014,,,,,,,,25000,,Bldg-Alter/Repair,21809 W LANARK ST 91304,Voluntary Reinforcement Of Soft Story At Carport Area With 10 Steel Columns & Grade Beam Per Engineer'S Plan.,Apartment,OK to Issue CofC,11/13/2014
46986,,14016-30000-24028,,1/2/2015,,,,,,,,17000,,Bldg-Alter/Repair,1915 N GRACE AVE 90068,"Voluntary, Nonstructural, Seismic Soft Story Strengthening.",Apartment,OK to Issue CofC,2/5/2015
47643,,15016-30000-01622,,2/19/2015,,,,,,,,20000,,Bldg-Alter/Repair,1240 W 29TH ST 1-16 90007,Soft Story Seismic Retrofit. Voluntary Seismic Upgrade.,Apartment,CofC Issued,3/17/2015
48781,,15016-30000-00979,,5/1/2015,,,,,,,,15000,,Bldg-Alter/Repair,6126 W ELEANOR AVE 90038,Voluntary Soft Story Seismic Reinforcements. No Change In Use Or Parking.,Apartment,CofC Issued,7/28/2015
