,APPLICATION TYPE,PERMIT,APPL INIT DATE,ISSUE DATE,APPL FINAL DATE,APPLICANT NAME,ASSESSOR INFO NUMBER,STATISTICAL CLASS CODE,DWELLING ADDED/REMOVED,# OF BUILDING,SQFT,VALUATION,CMP CODE,PERMIT TYPE,COMBINED ADDRESS,WORK DESCRIPTION,PERMIT SUBTYPE,PERMIT STATUS,STATUS DATE
8,BL,1610110066,10/11/2016 12:00:00 AM,10/11/2016 12:00:00 AM,12/08/2016 12:00:00 AM, MORRIS                             MIKE            ,5378003014,21,      ,     ,4400,28800,0, AR ,3644          SAN PASQUAL                 ST                     PASD  91107, T/O ALL LAYERS AND REPAIR PLYWOOD INSTALL NEW METRO SHINGLE  . (STEEL COATED ROOF) ESR-3098 ON 44 SQS OF HOUSE.             .                                                              ,,,
127,BL,1603030067,03/03/2016 12:00:00 AM,05/03/2016 12:00:00 AM,, REMON MORCOS                                       ,7269042909,22,      ,     ,0,300000,0, AR ,1333          CHESTNUT                    AV                     LBCH  90813, PROVIDE STEEL PLATFORM FOR ROOFTOP HVAC EQUIPMENT            .                                                              .                                                              ,,,
164,BL,1611290043,11/29/2016 12:00:00 AM,11/29/2016 12:00:00 AM,, WARREN CROSS ROOFING INC                           ,5860033032,21,      ,     ,0,15180,0, AR ,1960          KINCLAIR                    DR                     PASD  91107," T/O CONCRETE TILE AND RE-ROOF HOUSE OF 2,700 SQ.FT. WITH NEW . TILE SAME STYLE/COLOR (METRO SHAKE STONE COATED STEEL SHAKE) . ICC ESR 3012                                                 ",,,
356,BL,1601280058,01/28/2016 12:00:00 AM,02/18/2016 12:00:00 AM,, MOON                               JOHN            ,5201001900,22,      ,     ,324,150000,0, AR ,1200          STATE                       ST   N                 LOSA  90033, REPLACE EXISTING STEEL STAIRS                                .                                                              .                                                              ,,,
576,BL,1809040029,09/04/2018 12:00:00 AM,09/13/2018 12:00:00 AM,,DROBRIS                            NICK,2424043034,22,0,1,85,65000,0,CR,4497  TONY CURTIS DR   UNIV 91608,REPLACEMENT OF (E) CORRODED STEEL MEMBERS @ WATERWORLD.AUDIENCE TOWER #2.,,,
757,BL,1710020036,10/02/2017 12:00:00 AM,12/26/2017 12:00:00 AM,,SAME AS OWNER,8253006013,21,0,,65,10000,0,RR,18615  MARCOLA DR   LPUE 91748,NEW STAIRS (STEEL) OUTSIDE SFR CONNECT TO EXIT DECK..,,,
799,BL,1604180031,04/18/2016 12:00:00 AM,02/23/2018 12:00:00 AM,04/02/2018 12:00:00 AM,SAME AS OWNER,2812072007,21,0,,625,15625,0,RR,30015  ARLINE ST   CYNC 91351,"PERMIT (E) STEEL CANOPY, 625 SQFT..",,,
864,BL,1710110016,10/11/2017 12:00:00 AM,10/11/2017 12:00:00 AM,11/17/2017 12:00:00 AM,SAME AS OWNER,5236003015,21,,,0,6000,0,AR,461 1/2 DOWNEY RD S  LOSA 90063,REPLACE WOODEN EXTERIOR STAIRS TO STEEL/CONCRETE STAIRCASE.AND RE-STUCCO ADJACENT TO NEW STAIRS..,,,
871,BL,1702100020,02/10/2017 12:00:00 AM,08/04/2017 12:00:00 AM,03/30/2018 12:00:00 AM,"HERNANDEZ,AARIKA",5225014014,21,,,0,32500,0,AR,1328  HELEN DR   LOSA 90063,"REMOVE (E) MASONRY STAIRWAY, AND REMOVE (E) REAR PATIO..INSTALL NEW STEEL STAIRWAY AND POURED CONCRETE FOOTINGS, AND.168SF ADDITION TO (E) KITCHEN.",,,
895,BL,1602030070,02/03/2016 12:00:00 AM,07/24/2017 12:00:00 AM,,ANDREW SMITH,5827011049,22,0,,1080,25000,0,CR,505  WOODBURY RD W  LCNT 0,1080 SF FABRIC-COVERED STEEL FRAME W/ WALL-SUPPORT AND POSTS..,,,
1091,BL,1702210037,02/21/2017 12:00:00 AM,02/21/2017 12:00:00 AM,,WACHTEL                            MAE,4434017022,21,0,,0,5000,0,RR,21120  BANLYNN CT W  CLBS 90290,(N) 12' HIGH MASONRY FIREPLACE AT STEEL TRELLIS..,,,
1175,BL,1710300075,10/30/2017 12:00:00 AM,11/15/2017 12:00:00 AM,,HULLINGER                          GAREN,2424043017,22,0,1,300,10000,0,CR,6528  SERVICE DR   WHOL nan,STEEL STRUCTURE ON ROOF TO SUPPORT FUTURE REFRIGERATION.EQUIPMENT.,,,
1213,BL,1705100088,05/10/2017 12:00:00 AM,05/10/2017 12:00:00 AM,,SAME AS OWNER,8726018003,21,,1,2030,9000,0,AR,609  FAXINA AV   LPUE 91744,"REMOVE (E)ROOFING & INSTALL (N)DECRA STEEL TILE ON SFD &.ATTACHED GARAGE TO MATCH (N)ADDITION, 1.5 PSF & ES#2901.",,,
1433,BL,1708030098,08/03/2017 12:00:00 AM,09/05/2017 12:00:00 AM,10/03/2017 12:00:00 AM,ANTHONY/GEMINI PROPERTYSOLUTIONS,4019014009,21,,,0,8000,0,AR,4504  61ST ST W  LOSA 90043,REPLACE EXIST WOODEN EXTERIOR STAIRCASE WITH NEW STEEL.STAIRCASE OF EXIST 2-STORY 4-UNIT APT BLDG.,,,
1466,BL,1612290058,12/29/2016 12:00:00 AM,01/03/2018 12:00:00 AM,,KREG EACRET,5201001900,22,0,,2500,8200000,0,CR,1200  STATE ST N  LOSA 90033,"NEW FOOTING, STEEL FRAME, AND 28'X200' FENCE FOR NEW CHILLER..",,,
1580,BL,1706210093,06/21/2017 12:00:00 AM,11/02/2017 12:00:00 AM,12/28/2017 12:00:00 AM,"DAVIDSON, RACHAEL",5250021027,22,0,1,179,120000,0,CR,202  ATLANTIC BL S  ELOS 90022,"REMOVE (E) WOOD MONOPOLE W/ANTENNAS & REPLACE W/(N) STEEL.MONOPOLE. INSTALL ON BALLASTED FOUNDATION SYSTEM. RE-ROUTE.(E) ANTENNA COAX CABLES TO (N) MONOPOLE, RE-UTILIZE (E)",,,
1695,BL,1803140063,03/14/2018 12:00:00 AM,04/18/2018 12:00:00 AM,,HEBERT                             MIKE,2580015904,21,,,0,265000,0,AR,13100  ELDRIDGE AVE nan   LACO 91342,REMOVE DAMAGED DRIVING RANGE POLES & REPLACE W/ STEEL POLES..STEEL POLES ARE 30 TO 80FT HIGH. REPLACE 2X12 BASE BOARD FOR.THE DAMAGED RIVING RANGE NET.,,,
1755,BL,1509290003,09/29/2015 12:00:00 AM,09/29/2015 12:00:00 AM,11/02/2015 12:00:00 AM, SAME AS OWNER                                      ,4461032004,21,0,1,2000,2500,0, RR ,3931          LATIGO CANYON               RD                     MALI  90265, REMOVE (E) EXTERIOR WOOD STAIRWAY DUE TO ROT. APPROX 70      . SQ FT. (N) STEEL AND PRECAST CONCRETE STAIRS                 .                                                              ,,,
1816,BL,1508260085,08/26/2015 12:00:00 AM,08/26/2015 12:00:00 AM,, DANIEL CARUTHERS                                   ,6021019011,21,      ,     ,0,37000,0, AR ,7542          MAIE                        AV                     LOSA  90001," SANDBLAST DAMAGED STEEL MEMBERS, REMOVE AND REPLACE WOOD     . ROOF MEMBERS, REPLACE CORROGATED ROOF PANELS AND PAINT       .                                                              ",,,
1845,BL,1504300008,04/30/2015 12:00:00 AM,07/01/2015 12:00:00 AM,09/16/2015 12:00:00 AM, JOSE RODRIGUEZ JR                                  ,5843010002,21,      ,     ,0,75000,0, AR ,3371          RUBIO CANYON                RD                     ALTA  91001," REPLACE (E) WOOD BEAMS WITH STEEL BEAMS FOR WELL NO. 3       . BRIDGE CROSSING. NEW STEEL BEAM, STEEL GRATING DECK, PIPE HA . NDRAIL, AND TRAFFIC BARRIER GATE PER PLAN.                   ",,,
1950,BL,1402260003,02/26/2014 12:00:00 AM,04/08/2015 12:00:00 AM,08/07/2015 12:00:00 AM, SAME AS OWNER                                      ,8115005044,21,0,     ,0,100000,0, RR ,1601          ROLLING GREENS              WY                     WHIT  90601, PREENGINEERED STEEL BLDG 2500 SF WITH BIFOLD DOOR FOR        . STORAGE. NEW CONCRETE ENTRY PAD TO GARAGE 2000 SF            .                                                              ,,,
1967,BL,1406090054,06/09/2014 12:00:00 AM,02/10/2015 12:00:00 AM,, SAME AS OWNER                                      ,6129011015,22,0,     ,10260,600000,0, CR ,14920          MAIN                        ST   S                 LCNT       , LEGALIZE EXISTING 10260 SQFT STEEL BUILDING USED FOR SHOT-   . PEENING AND ABRASIVE BLASTING BUSINESS FOR AIRCRAFT PARTS.   . BUILDING IS TO BE ADDED TO AN EXISTING L SHAPED 7718 SF      ,,,
1983,BL,1501260009,01/26/2015 12:00:00 AM,01/26/2015 12:00:00 AM,02/09/2015 12:00:00 AM, HUGO QUEZADA                                       ,8426038001,21,      ,     ,0,3000,0, AR ,20546          RENSHAW                     ST   E                 COVI  91724, INSTALL A COMPLETE UL LISTED STEEL INSULATED CHIMNEY         . RELINING INTO AN (E) MASONRY CHIMNEY UL #DDZRMH26852         .                                                              ,,,
2369,BL,710250082,10/25/2007 12:00:00 AM,10/25/2007 12:00:00 AM,, SAME AS OWNER                                      ,3217027038,22,0,     ,0,1000,0, AR ,3932          SOURDOUGH                   RD                     ACTN  93510, INSULATION AND DRYWALL STEEL BUILDING                        .                                                              .                                                              ,,,
2398,BL,1104280023,04/28/2011 12:00:00 AM,04/28/2011 12:00:00 AM,, KAUB                               CHRIS           ,5810017041,21,0,     ,3500,13000,0, AR ,2229          WALTONIA                    DR                     LCNT  91020," T/O EXIST ROOF ON HOUSE, RESHEAT AND INSTALL GERARD STEEL    . SHINGLES ESR 1188                                            .                                                              ",,,
2442,BL,606230040,06/23/2006 12:00:00 AM,05/02/2008 12:00:00 AM,, SPRINT                                             ,6132041054,22,0,     ,400,80000,1, CR ,13303          MAIN                        ST   S                 LOSA  90061, INSTALL NEW 55' STEEL MONOPOLE W/ 12 ANTENNAS & 4 EQUIP.     . CABINETS RAISED ON A CONCRETE PAD @ GRADE LEVEL.             .                                                              ,,,
2444,BL,612040048,12/04/2006 12:00:00 AM,12/04/2006 12:00:00 AM,10/05/2007 12:00:00 AM, BIENEK*                                            ,7570012001,21,0,1,4000,22000,0, AR ,27336          EASTVALE                    RD                     LACO  90274, T/O EXISTING HOUSE & GARAGE APPLY 2-LAYER OF 30LB FELT STEEL . ROCK STONE COATED METAL ROOF                                 .                                                              ,,,
2532,BL,1102030049,02/03/2011 12:00:00 AM,02/03/2011 12:00:00 AM,, JFY CONSTRUCTION INC                               ,7409003036,22,0,     ,0,1500,0, CR ,956          SEPULVEDA                   BL                     LACO  90710, RAISE FLOOR AT EXIT DOOR AND ADD STEEL REINFORCEMENT AT DOOR .                                                              .                                                              ,,,
2727,BL,1303260004,03/26/2013 12:00:00 AM,03/26/2013 12:00:00 AM,04/08/2013 12:00:00 AM, JOHNSON                            SCOTT           ,7409003026,21,      ,     ,0,5000,0, AR ,23730          SANDHURST                   LN                     LACO  90710," T/O EXIST ROOF,INSTALL 1/2"" PLYWOOD, 30# FELT AND STEELROCK  . TILE ER#3098 AND FLAT ROOF SECTION 12/9 SQAURES              .                                                              ",,,
2765,BL,401220028,01/22/2004 12:00:00 AM,01/22/2004 12:00:00 AM,02/03/2004 12:00:00 AM, S & W ROOFING                                      ,5867018033,21,1,     ,2800,9600,1, AR ,2744          WILLOWHAVEN                 DR                     LACO  91214, REROOF OVER EXISTING 1ST LAYER OF COMP SHINGLES W/ STEEL &   . STONE TILE.  ICBO #NER-423                                   .                                                              ,,,
2784,BL,510260006,10/26/2005 12:00:00 AM,11/15/2005 12:00:00 AM,03/29/2006 12:00:00 AM, P B I                                              ,2424043017,22,0,     ,1760,55000,25, CR ,208          SUITE                                              WHOL       , CONSTRUCT STEEL FRAME FOR FUTURE RAIN COVER                  .                                                              .                                                              ,,,
2805,BL,1212310004,12/31/2012 12:00:00 AM,12/31/2012 12:00:00 AM,01/08/2013 12:00:00 AM, JAY LITE                                           ,6026033010,22,0,     ,0,2000,0, AR ,2210          85TH                        ST   E                 LOSA  90001, REMOVE UNPERMITTED STEEL CANOPY.                             .                                                              .                                                              ,,,
